f(x): 18.776513429720925	x1: -3.828151227667643	x2: 4.8185960383326885	
f(x): 18.701369379750783	x1: -3.81952670334156	x2: 4.809892272081384	
f(x): 18.626526202944845	x1: -3.8109195390021817	x2: 4.801205872156645	
f(x): 18.551982694598223	x1: -3.8023296998535763	x2: 4.792536803762033	
f(x): 18.47773765482971	x1: -3.793757151169544	x2: 4.783885032170841	
f(x): 18.40378988856246	x1: -3.7852018582934774	x2: 4.775250522725955	
f(x): 18.33013820550476	x1: -3.776663786638223	x2: 4.766633240839713	
f(x): 18.256781420130856	x1: -3.768142901685941	x2: 4.75803315199377	
f(x): 18.183718351661877	x1: -3.7596391689879662	x2: 4.749450221738952	
f(x): 18.11094782404683	x1: -3.7511525541646704	x2: 4.740884415695125	
f(x): 18.038468665943668	x1: -3.7426830229053234	x2: 4.732335699551051	
f(x): 17.96627971070044	x1: -3.7342305409679546	x2: 4.723804039064253	
f(x): 17.894379796336494	x1: -3.725795074179216	x2: 4.715289400060875	
f(x): 17.8227677655238	x1: -3.7173765884342442	x2: 4.706791748435549	
f(x): 17.7514424655683	x1: -3.7089750496965235	x2: 4.698311050151251	
f(x): 17.680402748391355	x1: -3.7005904239977485	x2: 4.689847271239168	
f(x): 17.609647470511288	x1: -3.6922226774376874	x2: 4.681400377798564	
f(x): 17.539175493024935	x1: -3.683871776184046	x2: 4.672970335996636	
f(x): 17.468985681589352	x1: -3.675537686472331	x2: 4.664557112068386	
f(x): 17.399076906403543	x1: -3.667220374605715	x2: 4.656160672316479	
f(x): 17.329448042190258	x1: -3.6589198069549	x2: 4.64778098311111	
f(x): 17.26009796817791	x1: -3.6506359499579824	x2: 4.6394180108898695	
f(x): 17.191025568082495	x1: -3.6423687701203185	x2: 4.631071722157607	
f(x): 17.12222973008967	x1: -3.6341182340143883	x2: 4.622742083486296	
f(x): 17.053709346836822	x1: -3.6258843082796623	x2: 4.6144290615149	
f(x): 16.985463315395243	x1: -3.6176669596224666	x2: 4.60613262294924	
f(x): 16.917490537252405	x1: -3.6094661548158498	x2: 4.597852734561858	
f(x): 16.849789918294253	x1: -3.6012818606994474	x2: 4.589589363191883	
f(x): 16.782360368787593	x1: -3.5931140441793503	x2: 4.5813424757449	
f(x): 16.715200803362563	x1: -3.584962672227971	x2: 4.573112039192814	
f(x): 16.64831014099516	x1: -3.5768277118839102	x2: 4.564898020573723	
f(x): 16.58168730498984	x1: -3.568709130251825	x2: 4.556700386991774	
